id,company,industry,hq,headcount,cpo_hypothesis,pain_signal,before_after,angle1_name,angle1_dm,angle1_email_subject,angle1_email_body,angle2_name,angle2_dm,angle2_email_subject,angle2_email_body,angle3_name,angle3_dm,angle3_email_subject,angle3_email_body,priority
1,Continental AG,Automotive components,"Hanover, Germany","~190,000",Head of Group Procurement / CPO,Ongoing transformation from traditional automotive to software-defined vehicles means procurement must rapidly adapt category strategies across fast-evolving tech and traditional component markets simultaneously.,"Today, Continental's procurement team manages thousands of suppliers across IT, MRO, logistics, facility management, and professional services in 50+ countries. As the business pivots from mechanical components to software-defined vehicles, category strategies for semiconductors, embedded software, cloud infrastructure, and legacy rubber/plastics supply chains all need simultaneous overhaul. Most of those strategies live in PowerPoint decks refreshed quarterly at best, with consultants filling the gaps. Categories in indirect spend run on autopilot for years between reviews. With Akirolabs: Each category manager at Continental can generate scenario-modeled, stakeholder-aligned strategies in days instead of weeks. The shift to software-defined vehicles means new categories like edge computing, ADAS sensor suppliers, and cybersecurity services get formal strategies at the same pace as legacy tire and braking component categories. More of Continental's indirect spend across 50+ countries moves from unmanaged to strategically governed, without scaling headcount proportionally.",Strategy Speed Gap,"Continental AG is under pressure to refresh category strategy faster as ongoing transformation from. Bertelsmann used Akirolabs to compress multi-division strategy refreshes into a. I can send the workflow for Continental AG.

Manuel",Continental's category strategy cycle vs. Bertelsmann's,"Continental AG is under pressure to refresh category strategy faster as ongoing transformation from traditional automotive to software-defined vehicles means procurement. That usually leaves teams reacting late to market moves.

Bertelsmann used Akirolabs to compress multi-division strategy refreshes into a days-long workflow. It gave category teams a faster way to keep strategy current.

I can send the Bertelsmann workflow and show where it would apply at Continental AG. That is usually where the manual process falls behind first.

Manuel Suhrcke",Suite Fatigue Wedge,"Continental AG's procurement team likely has execution tooling in place, but ongoing transformation from. Merck uses Akirolabs as the strategy layer above its existing. I can show where that fits Continental AG's stack.

Manuel",The strategy layer above Continental's S2P stack,"Continental AG's procurement team likely has execution tooling in place, but ongoing transformation from traditional automotive to software-defined vehicles means procurement still has to be turned into strategy before sourcing starts. That planning gap usually slows decisions before execution begins.

Merck uses Akirolabs as the strategy layer above its existing procurement stack, so the suite stays in place.

I can show the Merck architecture and where it would sit on top of Continental AG's stack. That planning gap usually sits above the suite, not inside it.

Manuel Suhrcke",Unmanaged Spend Trigger,"Today, Continental's procurement team manages thousands of suppliers across IT, MRO, logistics, facility management. Raiffeisen Bank used Akirolabs to move autopilot categories back under. I can send the benchmark and first gaps.

Manuel",Continental's indirect spend under formal strategy,"Today, Continental's procurement team manages thousands of suppliers across IT, MRO, logistics, facility management, and professional services in 50+ countries. That usually means part of the portfolio is still running on inertia.

Raiffeisen Bank used Akirolabs to move autopilot categories back under documented strategy and expand coverage. It gave the team a scalable way to widen strategic coverage.

I can send the benchmark we use for Automotive components and the first coverage gaps teams usually find. That is usually where teams discover how much spend is still uncovered.

Manuel Suhrcke",1
2,ZF Friedrichshafen AG,Automotive components,"Friedrichshafen, Germany","~165,000",Chief Procurement Officer / SVP Procurement,"Major electrification pivot and recent acquisitions (e.g., WABCO) create enormous pressure to harmonize category strategies across legacy and newly integrated business units.","Today, ZF's procurement teams are building category strategies for engineering services, IT infrastructure, logistics, temporary labor, and facility management across 30+ countries using spreadsheets, consultants, and slide decks. Post-WABCO integration, legacy and acquired business units run parallel processes with no shared strategic framework. Each category refresh takes weeks. Most indirect categories have no documented strategy at all. The electrification pivot demands rapid reallocation of spend priorities, but the strategy cycle can't keep pace. With Akirolabs: ZF runs a single strategic layer across all business units, legacy and acquired. Category managers in Friedrichshafen, Shanghai, and Detroit build scenario-modeled strategies for indirect categories in days, not quarters. WABCO integration categories get harmonized against ZF's existing frameworks using guided workflows. More indirect spend moves under formal strategy without adding headcount. The CPO walks into board meetings with current, defensible category positions across the full portfolio.",Strategy Speed Gap,"ZF Friedrichshafen AG is under pressure to refresh category strategy faster as major electrification. Bertelsmann used Akirolabs across 7 divisions and cut strategy refresh. I can map that workflow to ZF Friedrichshafen AG.

Manuel",ZF's strategy cycle vs. the electrification clock,"ZF Friedrichshafen AG is under pressure to refresh category strategy faster as major electrification pivot and recent acquisitions (e.g., wabco) create enormous. That usually leaves teams reacting late to market moves.

Bertelsmann used Akirolabs across 7 divisions and cut strategy refresh time by up to 90%. It gave category teams a faster way to keep strategy current.

I can walk through the Bertelsmann workflow and map it to ZF Friedrichshafen AG. That is usually where the manual process falls behind first.

Manuel Suhrcke",Suite Fatigue Wedge,"ZF Friedrichshafen AG's procurement team likely has execution tooling in place, but major electrification. Merck and Axpo run Akirolabs on top of the execution. I can map that setup to ZF Friedrichshafen AG.

Manuel",Strategy layer gap above ZF's procurement stack,"ZF Friedrichshafen AG's procurement team likely has execution tooling in place, but major electrification pivot and recent acquisitions (e.g., wabco) create enormous still has to be turned into strategy before sourcing starts. That planning gap usually slows decisions before execution begins.

Merck and Axpo run Akirolabs on top of the execution stack they already own, with no replacement project attached.

I can walk through the strategy-layer setup Merck uses and map it to ZF Friedrichshafen AG. That planning gap usually sits above the suite, not inside it.

Manuel Suhrcke",Unmanaged Spend Trigger,"Today, ZF's procurement teams are building category strategies for engineering services, IT infrastructure, logistics. Raiffeisen Bank used Akirolabs to increase spend under strategy across. I can share where teams usually start.

Manuel",How much ZF indirect spend lacks a strategy,"Today, ZF's procurement teams are building category strategies for engineering services, IT infrastructure, logistics, temporary labor, and facility management across 30+ countries. That usually means part of the portfolio is still running on inertia.

Raiffeisen Bank used Akirolabs to increase spend under strategy across categories that had been running on inertia. It gave the team a scalable way to widen strategic coverage.

I can share the benchmark view for Automotive components and where teams usually start. That is usually where teams discover how much spend is still uncovered.

Manuel Suhrcke",1
3,Schaeffler AG,Automotive components / Industrial bearings,"Herzogenaurach, Germany","~84,000",Chief Procurement Officer / SVP Group Procurement,"Dual business model (automotive + industrial) requires separate category strategies with diverging market dynamics, and their ongoing restructuring demands faster, data-driven sourcing decisions.","Today, Schaeffler's procurement team manages category strategies across two fundamentally different business models. Automotive categories like stamped steel components, EV drivetrain tooling, and polymer seals face margin compression and OEM pricing pressure. Industrial categories like precision bearing steel, ceramic coatings, and MRO supplies follow different commodity cycles entirely. Refreshing strategies across both portfolios with consultants and spreadsheets means some categories go 18+ months without a strategic review, especially in indirect areas like energy, IT, and logistics across 70+ plants. With Akirolabs: Schaeffler's category managers run scenario models that account for diverging automotive and industrial market dynamics in the same platform. A bearing steel strategy can be refreshed in days, not quarters. Indirect categories like contract logistics or industrial energy procurement, previously managed on autopilot, get pulled into formal strategic coverage without adding headcount. The restructuring roadmap gets a procurement strategy layer that moves at the same speed as the business decisions it needs to support.",Strategy Speed Gap,"Schaeffler AG is under pressure to refresh category strategy faster as dual business model. At Bertelsmann, Akirolabs moved category strategy work across 7 divisions. I can show where that fits Schaeffler AG.

Manuel","Schaeffler's dual portfolio, one strategy bottleneck","Schaeffler AG is under pressure to refresh category strategy faster as dual business model (automotive + industrial) requires separate category strategies. That usually leaves teams reacting late to market moves.

At Bertelsmann, Akirolabs moved category strategy work across 7 divisions from weeks to days. It gave category teams a faster way to keep strategy current.

I can share the operating model behind Bertelsmann's rollout and where it fits Schaeffler AG. That is usually where the manual process falls behind first.

Manuel Suhrcke",Suite Fatigue Wedge,"Schaeffler AG's procurement team likely has execution tooling in place, but dual business model. At Merck, Akirolabs handles the strategy work before decisions flow. I can share where that layer fits at Schaeffler.

Manuel",Strategy layer missing above Schaeffler's S2P stack,"Schaeffler AG's procurement team likely has execution tooling in place, but dual business model (automotive + industrial) requires separate category strategies still has to be turned into strategy before sourcing starts. That planning gap usually slows decisions before execution begins.

At Merck, Akirolabs handles the strategy work before decisions flow into the downstream procurement tools.

I can share the stack view Merck uses and where the same layer would fit at Schaeffler AG. That planning gap usually sits above the suite, not inside it.

Manuel Suhrcke",Unmanaged Spend Trigger,"Today, Schaeffler's procurement team manages category strategies across two fundamentally different business models. Raiffeisen Bank used Akirolabs to bring neglected categories under formal. I can share the benchmark for Automotive components /.

Manuel",How much Schaeffler spend lacks a strategy,"Today, Schaeffler's procurement team manages category strategies across two fundamentally different business models. That usually means part of the portfolio is still running on inertia. The backlog is usually visible well before the board sees it.

Raiffeisen Bank used Akirolabs to bring neglected categories under formal strategy without adding headcount. It gave the team a scalable way to widen strategic coverage.

I can share the spend-under-strategy benchmark we use for Automotive components / Industrial bearings. That is usually where teams discover how much spend is still uncovered.

Manuel Suhrcke",1
4,MAHLE GmbH,Automotive components,"Stuttgart, Germany","~72,000",Vice President Procurement / Head of Group Purchasing,Transition from combustion engine components to thermal management and e-mobility creates rapidly shifting supply markets where manual PowerPoint-based strategies become obsolete before completion.,"Today, MAHLE's category managers are building strategies for energy procurement across 150+ plants, logistics networks spanning 30 countries, and fast-shifting thermal management supply markets using the same PowerPoint decks and consultant workshops they used when the business was 90% combustion. Each strategy refresh takes weeks. By the time a deck on e-mobility component sourcing reaches the board, the supplier landscape has already moved. Indirect categories like facility management and IT consulting run without a formal strategy at all. Nobody has a current count of how much spend is actually covered. With Akirolabs: MAHLE's procurement team builds scenario-modeled category strategies for energy, logistics, and e-mobility sourcing in days instead of weeks. Every category. Every region. One consistent framework that connects directly to board-level reporting. Categories that ran on autopilot. facility management, consulting, IT services across 30+ countries. now have a documented, pressure-tested strategy. The team covers more spend without adding headcount, and strategies stay current as thermal management and electrification markets shift quarter to quarter.",Strategy Speed Gap,"MAHLE GmbH is under pressure to refresh category strategy faster as transition from combustion. Bertelsmann used Akirolabs to compress multi-division strategy refreshes into a. I can send the workflow for MAHLE GmbH.

Manuel",MAHLE's strategy cycle vs. market speed,"MAHLE GmbH is under pressure to refresh category strategy faster as transition from combustion engine components to thermal management and e-mobility. That usually leaves teams reacting late to market moves.

Bertelsmann used Akirolabs to compress multi-division strategy refreshes into a days-long workflow. It gave category teams a faster way to keep strategy current.

I can send the Bertelsmann workflow and show where it would apply at MAHLE GmbH. That is usually where the manual process falls behind first.

Manuel Suhrcke",Suite Fatigue Wedge,"MAHLE GmbH's procurement team likely has execution tooling in place, but transition from combustion. Merck uses Akirolabs as the strategy layer above its existing. I can show where that fits MAHLE GmbH's stack.

Manuel",Strategy layer gap above MAHLE's procurement suite,"MAHLE GmbH's procurement team likely has execution tooling in place, but transition from combustion engine components to thermal management and e-mobility still has to be turned into strategy before sourcing starts. That planning gap usually slows decisions before execution begins.

Merck uses Akirolabs as the strategy layer above its existing procurement stack, so the suite stays in place.

I can show the Merck architecture and where it would sit on top of MAHLE GmbH's stack. That planning gap usually sits above the suite, not inside it.

Manuel Suhrcke",Unmanaged Spend Trigger,"Today, MAHLE's category managers are building strategies for energy procurement across 150+ plants, logistics. Raiffeisen Bank used Akirolabs to move autopilot categories back under. I can send the benchmark and first gaps.

Manuel",How much MAHLE spend has a current strategy,"Today, MAHLE's category managers are building strategies for energy procurement across 150+ plants, logistics networks spanning 30 countries, and fast-shifting thermal management. That usually means part of the portfolio is still running on inertia.

Raiffeisen Bank used Akirolabs to move autopilot categories back under documented strategy and expand coverage.

I can send the benchmark we use for Automotive components and the first coverage gaps teams usually find. That is usually where teams discover how much spend is still uncovered.

Manuel Suhrcke",1
5,Evonik Industries AG,Specialty chemicals,"Essen, Germany","~33,000",Chief Procurement Officer / Head of Group Procurement,"Specialty chemicals face extreme raw material price volatility and regulatory shifts, making static 6-week category strategy cycles dangerously slow for market responsiveness.","Today at Evonik, category strategies for energy, specialty logistics, MRO, and lab equipment likely refresh on fixed cycles. Meanwhile, TDI and MDI feedstock prices swing 20% in a quarter, REACH compliance timelines shift, and Chinese supplier dynamics change faster than any PowerPoint deck can track. Categories with no dedicated manager run on inherited contracts. The CPO team spends weeks assembling board-ready strategies that are already stale on delivery. With Akirolabs: Each category team at Evonik pulls live scenario models that factor in raw material volatility, regulatory exposure, and supplier concentration risk. A strategy for silica logistics or lab consumables goes from blank page to board-ready in days, not weeks. Categories that sat on autopilot get formal strategic coverage without adding headcount. The procurement function reports to the Vorstand with current, defensible strategies across the full indirect portfolio.",Strategy Speed Gap,"Evonik Industries AG is under pressure to refresh category strategy faster as specialty chemicals. Bertelsmann used Akirolabs across 7 divisions and cut strategy refresh. I can map that workflow to Evonik Industries AG.

Manuel",Evonik's category refresh vs. feedstock volatility,"Evonik Industries AG is under pressure to refresh category strategy faster as specialty chemicals face extreme raw material price volatility and regulatory. That usually leaves teams reacting late to market moves.

Bertelsmann used Akirolabs across 7 divisions and cut strategy refresh time by up to 90%. It gave category teams a faster way to keep strategy current.

I can walk through the Bertelsmann workflow and map it to Evonik Industries AG. That is usually where the manual process falls behind first.

Manuel Suhrcke",Suite Fatigue Wedge,"Evonik Industries AG's procurement team likely has execution tooling in place, but specialty chemicals. Merck and Axpo run Akirolabs on top of the execution. I can map that setup to Evonik Industries AG.

Manuel",Strategy layer above Evonik's procurement stack,"Evonik Industries AG's procurement team likely has execution tooling in place, but specialty chemicals face extreme raw material price volatility and regulatory still has to be turned into strategy before sourcing starts. That planning gap usually slows decisions before execution begins.

Merck and Axpo run Akirolabs on top of the execution stack they already own, with no replacement project attached.

I can walk through the strategy-layer setup Merck uses and map it to Evonik Industries AG. That planning gap usually sits above the suite, not inside it.

Manuel Suhrcke",Unmanaged Spend Trigger,"Today at Evonik, category strategies for energy, specialty logistics, MRO, and lab equipment likely. Raiffeisen Bank used Akirolabs to increase spend under strategy across. I can share where teams usually start.

Manuel",How much Evonik spend lacks formal strategy,"Today at Evonik, category strategies for energy, specialty logistics, MRO, and lab equipment likely refresh on fixed cycles. That usually means part of the portfolio is still running on inertia.

Raiffeisen Bank used Akirolabs to increase spend under strategy across categories that had been running on inertia. It gave the team a scalable way to widen strategic coverage.

I can share the benchmark view for Specialty chemicals and where teams usually start. That is usually where teams discover how much spend is still uncovered.

Manuel Suhrcke",1
6,Lanxess AG,Specialty chemicals,"Cologne, Germany","~13,000",Chief Procurement Officer / SVP Procurement,Recent portfolio restructuring (sale of engineering plastics to Advent) demands rapid re-baselining of category strategies across remaining business units under cost pressure.,"Before: After divesting engineering plastics to Advent, Lanxess procurement is stuck re-baselining category strategies across remaining units. Energy procurement, logistics across 30+ countries, MRO for chemical plants, IT services, consulting. Each category needs a fresh strategic view under new portfolio boundaries, but category managers are rebuilding in Excel and PowerPoint while leadership demands cost clarity now. Strategies go stale before they reach the board. With Akirolabs: Each remaining business unit runs category strategies through a single guided workflow. Scenario modeling accounts for Lanxess's shifted portfolio. Energy procurement strategies reflect the new cost structure. Logistics and MRO categories that were shared with the divested unit get re-scoped in days, not quarters. The CPO presents a complete, current strategic picture to the board within weeks of close, not months.",Strategy Speed Gap,"Lanxess AG is under pressure to refresh category strategy faster as recent portfolio restructuring. At Bertelsmann, Akirolabs moved category strategy work across 7 divisions. I can show where that fits Lanxess AG.

Manuel",Lanxess post-divestiture strategy re-baseline,"Lanxess AG is under pressure to refresh category strategy faster as recent portfolio restructuring (sale of engineering plastics to advent) demands. That usually leaves teams reacting late to market moves.

At Bertelsmann, Akirolabs moved category strategy work across 7 divisions from weeks to days. It gave category teams a faster way to keep strategy current.

I can share the operating model behind Bertelsmann's rollout and where it fits Lanxess AG. That is usually where the manual process falls behind first.

Manuel Suhrcke",Suite Fatigue Wedge,"Lanxess AG's procurement team likely has execution tooling in place, but recent portfolio restructuring. At Merck, Akirolabs handles the strategy work before decisions flow. I can share where that layer fits at Lanxess.

Manuel",Strategy layer above Lanxess's procurement stack,"Lanxess AG's procurement team likely has execution tooling in place, but recent portfolio restructuring (sale of engineering plastics to advent) demands still has to be turned into strategy before sourcing starts. That planning gap usually slows decisions before execution begins.

At Merck, Akirolabs handles the strategy work before decisions flow into the downstream procurement tools.

I can share the stack view Merck uses and where the same layer would fit at Lanxess AG. That planning gap usually sits above the suite, not inside it.

Manuel Suhrcke",Unmanaged Spend Trigger,"After divesting engineering plastics to Advent, Lanxess procurement is stuck re-baselining category strategies across. Raiffeisen Bank used Akirolabs to bring neglected categories under formal. I can share the benchmark for Specialty chemicals.

Manuel",Lanxess spend categories running without strategy,"After divesting engineering plastics to Advent, Lanxess procurement is stuck re-baselining category strategies across remaining units. That usually means part of the portfolio is still running on inertia. The backlog is usually visible well before the board sees it.

Raiffeisen Bank used Akirolabs to bring neglected categories under formal strategy without adding headcount. It gave the team a scalable way to widen strategic coverage.

I can share the spend-under-strategy benchmark we use for Specialty chemicals. That is usually where teams discover how much spend is still uncovered.

Manuel Suhrcke",1
7,Commerzbank AG,Banking / Financial services,"Frankfurt, Germany","~42,000",Head of Group Procurement / CPO,Ongoing cost transformation program and IT modernization create urgent need to accelerate category strategy cycles across dozens of indirect categories simultaneously.,"Before: Commerzbank's procurement team manages dozens of indirect categories. IT infrastructure, consulting, facility management, professional services. Each category strategy refresh requires weeks of analyst time, consultant input, and stakeholder alignment cycles. With a cost transformation program and IT modernization running in parallel, the strategy backlog grows faster than the team can clear it. Lower-priority categories like marketing services or FM run on expired strategies or none at all. With Akirolabs: Category managers at Commerzbank build board-ready strategies in days, not weeks. AI-driven scenario modeling handles regulatory constraints specific to banking procurement. The team covers 3x more categories under formal strategy without adding headcount. IT modernization categories get dedicated strategic options evaluated against cost, risk, and compliance criteria before sourcing events ever begin.",Strategy Speed Gap,"Commerzbank AG is under pressure to refresh category strategy faster as ongoing cost transformation. Bertelsmann used Akirolabs to compress multi-division strategy refreshes into a. I can send the workflow for Commerzbank AG.

Manuel",Strategy cycles slowing Commerzbank's cost program?,"Commerzbank AG is under pressure to refresh category strategy faster as ongoing cost transformation program and it modernization create urgent need. That usually leaves teams reacting late to market moves.

Bertelsmann used Akirolabs to compress multi-division strategy refreshes into a days-long workflow. It gave category teams a faster way to keep strategy current.

I can send the Bertelsmann workflow and show where it would apply at Commerzbank AG. That is usually where the manual process falls behind first.

Manuel Suhrcke",Suite Fatigue Wedge,"Commerzbank AG's procurement team likely has execution tooling in place, but ongoing cost transformation. Merck uses Akirolabs as the strategy layer above its existing. I can show where that fits Commerzbank AG's stack.

Manuel",Where Commerzbank builds category strategies today,"Commerzbank AG's procurement team likely has execution tooling in place, but ongoing cost transformation program and it modernization create urgent need still has to be turned into strategy before sourcing starts. That planning gap usually slows decisions before execution begins.

Merck uses Akirolabs as the strategy layer above its existing procurement stack, so the suite stays in place.

I can show the Merck architecture and where it would sit on top of Commerzbank AG's stack. That planning gap usually sits above the suite, not inside it.

Manuel Suhrcke",Unmanaged Spend Trigger,"Commerzbank's procurement team manages dozens of indirect categories. Raiffeisen Bank used Akirolabs to move autopilot categories back under. I can send the benchmark and first gaps.

Manuel",Commerzbank's indirect spend strategy coverage,"Commerzbank's procurement team manages dozens of indirect categories. That usually means part of the portfolio is still running on inertia.

Raiffeisen Bank used Akirolabs to move autopilot categories back under documented strategy and expand coverage. It gave the team a scalable way to widen strategic coverage.

I can send the benchmark we use for Banking / Financial services and the first coverage gaps teams usually find. That is usually where teams discover how much spend is still uncovered.

Manuel Suhrcke",1
8,DZ Bank AG,Cooperative banking / Financial services,"Frankfurt, Germany","~32,000",Head of Procurement / Leiter Einkauf,"As Germany's second-largest bank by assets with a federated cooperative structure, aligning category strategies across group entities is highly complex and manual.","Today, DZ Bank's procurement team coordinates category strategies for IT outsourcing, consulting panels, and facility management across a federated cooperative structure with dozens of group entities. Each entity runs its own timelines, its own spreadsheets, its own consultant decks. Aligning on a single strategy for shared spend categories like professional services or software licensing takes months of manual consolidation. Categories with lower visibility run without any documented strategy at all. With Akirolabs: Each category manager works from a single strategic workspace that feeds from existing systems and generates scenario-modeled, board-ready strategies in days. Group entities contribute to and align on shared category strategies through guided workflows instead of email chains. IT, consulting, and facility management categories that previously ran on autopilot get formal strategic coverage without adding headcount.",Strategy Speed Gap,"DZ Bank AG is under pressure to refresh category strategy faster as as germany's. Bertelsmann used Akirolabs across 7 divisions and cut strategy refresh. I can map that workflow to DZ Bank AG.

Manuel",Category strategy cycles across DZ Bank group,"DZ Bank AG is under pressure to refresh category strategy faster as as germany's second-largest bank by assets with a federated cooperative. That usually leaves teams reacting late to market moves.

Bertelsmann used Akirolabs across 7 divisions and cut strategy refresh time by up to 90%. It gave category teams a faster way to keep strategy current.

I can walk through the Bertelsmann workflow and map it to DZ Bank AG. That is usually where the manual process falls behind first.

Manuel Suhrcke",Suite Fatigue Wedge,"DZ Bank AG's procurement team likely has execution tooling in place, but as germany's. Merck and Axpo run Akirolabs on top of the execution. I can map that setup to DZ Bank AG.

Manuel",Strategy layer gap in DZ Bank's procurement stack,"DZ Bank AG's procurement team likely has execution tooling in place, but as germany's second-largest bank by assets with a federated cooperative still has to be turned into strategy before sourcing starts. That planning gap usually slows decisions before execution begins.

Merck and Axpo run Akirolabs on top of the execution stack they already own, with no replacement project attached.

I can walk through the strategy-layer setup Merck uses and map it to DZ Bank AG. That planning gap usually sits above the suite, not inside it.

Manuel Suhrcke",Unmanaged Spend Trigger,"Today, DZ Bank's procurement team coordinates category strategies for IT outsourcing, consulting panels, and. Raiffeisen Bank used Akirolabs to increase spend under strategy across. I can share where teams usually start.

Manuel",How many DZ Bank categories have a current strategy,"Today, DZ Bank's procurement team coordinates category strategies for IT outsourcing, consulting panels, and facility management across a federated cooperative structure with. That usually means part of the portfolio is still running on inertia.

Raiffeisen Bank used Akirolabs to increase spend under strategy across categories that had been running on inertia.

I can share the benchmark view for Cooperative banking / Financial services and where teams usually start. That is usually where teams discover how much spend is still uncovered.

Manuel Suhrcke",1
9,Fresenius SE,Healthcare / Life sciences,"Bad Homburg, Germany","~190,000",Group Chief Procurement Officer / SVP Group Procurement,"Four diverse business segments (Kabi, Helios, Vamed, Medical Care) create siloed category strategies with limited cross-segment leverage and no unified market intelligence.","Today, Fresenius runs category strategies independently across Kabi, Helios, Vamed, and Medical Care. Medical device sourcing in Kabi has no line of sight into Helios facility management contracts. IT services get renegotiated segment by segment. Logistics strategies exist in scattered PowerPoints, refreshed annually at best by external consultants. The Group CPO has no single view of strategic coverage across 190,000-employee indirect spend, and cross-segment leverage stays theoretical. With Akirolabs: Each segment builds category strategies in a shared, structured environment. A logistics category strategy created for Kabi is visible, comparable, and adaptable for Vamed. Market intelligence on medical device suppliers feeds Helios and Kabi simultaneously. The Group CPO sees which categories across all four segments have current strategies and where spend is running unmanaged. Cross-segment synergies become identifiable in hours, not after a six-month consulting engagement.",Strategy Speed Gap,"Fresenius SE is under pressure to refresh category strategy faster as four diverse business. At Bertelsmann, Akirolabs moved category strategy work across 7 divisions. I can show where that fits Fresenius SE.

Manuel",Category strategy cycles across four segments,"Fresenius SE is under pressure to refresh category strategy faster as four diverse business segments (kabi, helios, vamed, medical care) create. That usually leaves teams reacting late to market moves.

At Bertelsmann, Akirolabs moved category strategy work across 7 divisions from weeks to days. It gave category teams a faster way to keep strategy current.

I can share the operating model behind Bertelsmann's rollout and where it fits Fresenius SE. That is usually where the manual process falls behind first.

Manuel Suhrcke",Suite Fatigue Wedge,"Fresenius SE's procurement team likely has execution tooling in place, but four diverse business. At Merck, Akirolabs handles the strategy work before decisions flow. I can share where that layer fits at Fresenius.

Manuel",Strategy layer above your procurement stack,"Fresenius SE's procurement team likely has execution tooling in place, but four diverse business segments (kabi, helios, vamed, medical care) create still has to be turned into strategy before sourcing starts. That planning gap usually slows decisions before execution begins.

At Merck, Akirolabs handles the strategy work before decisions flow into the downstream procurement tools.

I can share the stack view Merck uses and where the same layer would fit at Fresenius SE. That planning gap usually sits above the suite, not inside it.

Manuel Suhrcke",Unmanaged Spend Trigger,"Today, Fresenius runs category strategies independently across Kabi, Helios, Vamed, and Medical Care. Raiffeisen Bank used Akirolabs to bring neglected categories under formal. I can share the benchmark for Healthcare / Life.

Manuel",How much Fresenius spend lacks a strategy,"Today, Fresenius runs category strategies independently across Kabi, Helios, Vamed, and Medical Care. That usually means part of the portfolio is still running on inertia. The backlog is usually visible well before the board sees it.

Raiffeisen Bank used Akirolabs to bring neglected categories under formal strategy without adding headcount. It gave the team a scalable way to widen strategic coverage.

I can share the spend-under-strategy benchmark we use for Healthcare / Life sciences. That is usually where teams discover how much spend is still uncovered.

Manuel Suhrcke",1
10,Sartorius AG,Pharma / Life sciences equipment,"Göttingen, Germany","~14,000",VP Procurement / Head of Global Procurement,Rapid growth through acquisitions and expansion demands scaling procurement strategy capabilities far beyond what manual processes can support.,"Before: Sartorius runs 14,000 employees across dozens of acquired entities, each with overlapping indirect spend in IT services, lab consumables, logistics, and facility management. Category strategies for these areas live in PowerPoint decks that are outdated before they're finished. Every acquisition adds new suppliers, new contracts, and new tail spend that nobody maps to a coherent strategy. The procurement team gets pulled into integration firefighting instead of building repeatable strategic frameworks. Coverage is thin. The CFO asks what percentage of indirect spend is under active strategy and the answer is uncomfortable. With Akirolabs: Each post-acquisition category gets a structured, AI-assisted strategy built in days instead of weeks. Lab consumables, IT outsourcing, logistics, professional services, facility management. All run through the same strategic workflow with scenario modeling, stakeholder alignment built in, and output that goes straight to the board. Sartorius scales strategy coverage proportionally with its growth instead of falling further behind with every deal.",Strategy Speed Gap,"Sartorius AG is under pressure to refresh category strategy faster as rapid growth through. Bertelsmann used Akirolabs to compress multi-division strategy refreshes into a. I can send the workflow for Sartorius AG.

Manuel",Category strategy speed at Sartorius post-acquisitions,"Sartorius AG is under pressure to refresh category strategy faster as rapid growth through acquisitions and expansion demands scaling procurement strategy. That usually leaves teams reacting late to market moves.

Bertelsmann used Akirolabs to compress multi-division strategy refreshes into a days-long workflow. It gave category teams a faster way to keep strategy current.

I can send the Bertelsmann workflow and show where it would apply at Sartorius AG. That is usually where the manual process falls behind first.

Manuel Suhrcke",Suite Fatigue Wedge,"Sartorius AG's procurement team likely has execution tooling in place, but rapid growth through. Merck uses Akirolabs as the strategy layer above its existing. I can show where that fits Sartorius AG's stack.

Manuel",Strategy layer gap above Sartorius procurement stack,"Sartorius AG's procurement team likely has execution tooling in place, but rapid growth through acquisitions and expansion demands scaling procurement strategy still has to be turned into strategy before sourcing starts. That planning gap usually slows decisions before execution begins.

Merck uses Akirolabs as the strategy layer above its existing procurement stack, so the suite stays in place.

I can show the Merck architecture and where it would sit on top of Sartorius AG's stack. That planning gap usually sits above the suite, not inside it.

Manuel Suhrcke",Unmanaged Spend Trigger,"Sartorius runs 14,000 employees across dozens of acquired entities, each with overlapping indirect spend. Raiffeisen Bank used Akirolabs to move autopilot categories back under. I can send the benchmark and first gaps.

Manuel",Spend under strategy ratio at Sartorius,"Sartorius runs 14,000 employees across dozens of acquired entities, each with overlapping indirect spend in IT services, lab consumables, logistics, and facility. That usually means part of the portfolio is still running on inertia.

Raiffeisen Bank used Akirolabs to move autopilot categories back under documented strategy and expand coverage.

I can send the benchmark we use for Pharma / Life sciences equipment and the first coverage gaps teams usually find. That is usually where teams discover how much spend is still uncovered.

Manuel Suhrcke",1
